From,Destination,City,Type,Distance (km),Duration (Days),Budget,Cost (BDT)
Chittagong,Kuakata Beach,Patuakhali,Sea Beach,345,3,Medium,18808
Rangpur,Dinajpur Rajbari,Dinajpur,Historical Palace,84,1,Low,1506
Cumilla,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,687,1,Medium,2246
Mymensingh,Ramsagar National Park,Dinajpur,Park,335,1,Medium,1695
Dhaka,Bangladesh National Meusium,Dhaka,Historical Palace,12,1,Low,1201
Dhaka,Jaflong,Sylhet,Picnic Spot,295,1,Medium,2278
Barisal,Baniachong Raj Bari,Habiganj,Historical Palace,338,1,Medium,2052
Khulna,Zaflong Tea Garden,Sylhet,Picnic Spot,496,1,Medium,2526
Sylhet,Zinda Park,Narayanganj,Picnic Spot,225,1,Medium,2823
Rangpur,Mohamaya Eco Park,Chittagong,Picnic Spot,483,1,Medium,2690
Cumilla,Munshibari Zamindar Bari,Cumilla,Historical Palace,377,1,Medium,2971
Mymensingh,Kantaji Temple,Dinajpur,Historical Palace,347,1,Low,2297
Dhaka,Ratargul Swamp Forest,Sylhet,Forest,257,2,Medium,2747
Rajshahi,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,625,1,Medium,2367
Mymensingh,Sundarbans,Satkhira,Forest,410,1,Medium,4364
Rajshahi,Bangabandhu Bridge,Tangail,Historical Palace,567,1,Medium,2178
Chittagong,Sreemangal,Moulvibazar,Picnic Spot,301,1,Medium,1651
Chittagong,Aparajeyo Bangla,Dhaka,Historical Palace,245,1,Medium,2063
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,360
Dhaka,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,314,1,Medium,1584
Sylhet,Tilagor Eco Park,Sylhet,Park,8,1,Low,883
Rangpur,Birishiri,Netrokona,Picnic Spot,346,1,Medium,2955
Chittagong,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,129,1,Low,1061
Cumilla,Lawachara National Park,Sylhet,Park,159,1,Low,1921
Cumilla,Nilachal,Bandarban,Hills,220,3,High,6312
Barisal,Fatra's Char,Patuakhali,Island,113,4,Medium,9186
Dhaka,Chandranath Hill,Chittagong,Hills,218,4,High,11113
Rajshahi,Jatiyo Sriti Shoudho,Savar,Historical Palace,229,1,Low,2018
Sylhet,Chandradinga,Netrokona,Hills,169,2,High,2968
Mymensingh,Patenga Beach,Chittagong,Sea Beach,373,6,High,8241
Barisal,Shalban Vihara,Cumilla,Historical Palace,175,1,Low,1319
Rajshahi,Sajek Valley,Rangamati,Hills,579,6,Medium,10457
Mymensingh,Mawa Ghat,Munshiganj,Picnic Spot,164,1,Low,1064
Cumilla,Himchari National Park,Cox's Bazar,Park,307,1,Low,2156
Cumilla,Zaflong Tea Garden,Sylhet,Picnic Spot,267,1,Low,1652
Barisal,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,369,1,Medium,2188
Khulna,Mujibnagar Eco Park,Meherpur,Park,164,1,Low,1283
Chittagong,Mohera Zamindar Bari,Tangail,Historical Palace,341,1,Medium,1937
Chittagong,Panchagarh Tea Estate,Panchagarh,Picnic Spot,697,1,Medium,2252
Khulna,Kaptai Lake,Rangamati,Picnic Spot,404,1,Medium,2848
Cumilla,Sreepur Zamindar Bari,Gazipur,Historical Palace,27,1,Low,1485
Sylhet,Ghoraghat Fort,Dinajpur,Historical Palace,442,1,Low,2818
Rajshahi,Nafakhum Waterfall,Bandarban,Waterfall,499,3,Medium,2189
Rangpur,Paharpur Buddhist Monastery,Naogaon,Historical Palace,112,1,Low,1977
Dhaka,Aparajeyo Bangla,Dhaka,Historical Palace,12,1,Low,1560
Barisal,Satchari National Park,Habiganj,Park,301,1,Medium,1732
Dhaka,Nilachal,Bandarban,Hills,323,5,High,7319
Chittagong,Jatiyo Sriti Shoudho,Savar,Historical Palace,278,1,Medium,1668
Khulna,Teknaf Beach,Teknaf,Sea Beach,558,7,Medium,13250
Khulna,Dhanmondi Lake,Dhaka,Park,209,1,Low,2552
Rajshahi,Shahporan Dargah,Sylhet,Historical Palace,456,1,Low,1977
Mymensingh,Takerghat Limestone,Sunamganj,Picnic Spot,180,1,Low,1199
Cumilla,Madhabkunda Waterfall,Moulvibazar,Waterfall,230,1,Low,3404
Mymensingh,Aparajeyo Bangla,Dhaka,Historical Palace,121,1,Low,1075
Sylhet,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,500,5,Medium,12120
Sylhet,Malnichhara Tea Garden,Sylhet,Picnic Spot,4.3,1,Low,986
Sylhet,Amiakhum Waterfall,Bandarban,Waterfall,10,1,Low,1405
Rangpur,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,253,1,Low,2584
Barisal,Bichanakandi,Sylhet,Picnic Spot,423,1,Medium,1504
Khulna,Shangu River,Bandarban,Picnic Spot,483,1,Medium,2235
Dhaka,Birishiri,Netrokona,Picnic Spot,166,1,Low,1818
Khulna,Chor Kukri Mukri,Bhola,Island,220,3,High,18015
Chittagong,Mujibnagar Memorial,Meherpur,Historical Palace,497,1,Medium,2640
Dhaka,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,40,1,Low,806
Rajshahi,Mohamaya Eco Park,Chittagong,Picnic Spot,436,1,Medium,2740
Cumilla,Jaflong,Sylhet,Picnic Spot,269,1,Low,2208
Chittagong,Chandranath Hill,Chittagong,Hills,73,1,High,2342
Cumilla,Teliapara Tea Garden,Habiganj,Picnic Spot,295,1,Medium,2879
Cumilla,Khoiyachora Jhorna,Chittagong,Waterfall,100,1,Medium,1518
Rajshahi,Alutila Cave,Khagrachari,Hills,509,4,Medium,6387
Rajshahi,Shitolaksha Waterfront Resort,Narayanganj,Picnic Spot,254,1,Medium,1794
Sylhet,Jadukata River,Sunamganj,Picnic Spot,46,1,Low,492
Cumilla,Keokradong,Bandarban,Hills,283,5,Medium,9697
Rajshahi,Keokradong,Bandarban,Hills,629,4,Medium,9045
Rangpur,Ahsan Monjil,Dhaka,Historical Palace,307,1,Medium,2468
Mymensingh,Shangu River,Bandarban,Picnic Spot,502,1,Low,2684
Rajshahi,Jaflong,Sylhet,Picnic Spot,508,1,Medium,2009
Dhaka,Panam City,Narayanganj,Historical Palace,40,1,Low,1379
Dhaka,Buddha Dhatu Jadi,Bandarban,Historical Palace,331,1,Low,2169
Cumilla,Jadukata River,Sunamganj,Picnic Spot,255,1,Medium,2697
Chittagong,Fatra's Char,Patuakhali,Island,339,7,High,6166
Cumilla,Boga Lake,Bandarban,Hills,274,6,High,6201
Mymensingh,Pachgaon Waterfall,Netrokona,Hills,83,1,Medium,4539
Rajshahi,Baliadi  Zamindar Bari,Gazipur,Historical Palace,205,1,Medium,2993
Cumilla,Jadukata River,Sunamganj,Picnic Spot,255,1,Low,1547
Chittagong,Tanguar Haor,Sunamganj,Picnic Spot,436,1,Low,2628
Rajshahi,Bangabandhu Safari Park,Gazipur,Park,246,1,Medium,1785
Rajshahi,Nikli Haor,Kishoreganj,Picnic Spot,311,1,Low,2881
Cumilla,Panchagarh Tea Estate,Panchagarh,Picnic Spot,548,1,Medium,1650
Rajshahi,Dhanmondi Lake,Dhaka,Park,254,1,Medium,2166
Chittagong,Dhakeshwari Temple,Dhaka,Historical Palace,246,1,Low,1695
Chittagong,Nafakhum Waterfall,Bandarban,Waterfall,147,2,Low,4957
Rangpur,Suagazi Zamindar Bari,Cumilla,Historical Palace,412,1,Medium,2017
Rajshahi,Baliadi  Zamindar Bari,Gazipur,Historical Palace,205,1,Medium,1895
Cumilla,Ahsan Monjil,Dhaka,Historical Palace,96,1,Low,1704
Rangpur,Bangladesh National Meusium,Dhaka,Historical Palace,305,1,Low,1579
Khulna,Nilachal,Bandarban,Hills,414,3,High,11234
Khulna,Chandraghona Paper Mills,Rangamati,Historical Palace,384,1,Medium,1732
Cumilla,Dhakeshwari Temple,Dhaka,Historical Palace,97,1,Low,1671
Barisal,Jatiyo Sriti Shoudho,Savar,Historical Palace,201,1,Low,1883
Cumilla,Jadipai Waterfall,Bandarban,Waterfall,287,1,Medium,2557
Khulna,Bangladesh National Meusium,Dhaka,Historical Palace,207,1,Low,1605
Rangpur,Dhakeshwari Temple,Dhaka,Historical Palace,306,1,Low,2858
Mymensingh,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,499,1,Medium,2383
Khulna,Aparajeyo Bangla,Dhaka,Historical Palace,207,1,Low,1623
Rajshahi,Balihar Rajbari,Naogaon,Historical Palace,63,1,Low,738
Barisal,Saint Martin's Island,Cox's Bazar,Island,467,4,Medium,10183
Barisal,Sundarbans,Satkhira,Forest,120,2,Medium,3852
Rangpur,Chandranath Temple,Chittagong,Historical Palace,512,1,Medium,2610
Mymensingh,Tanguar Haor,Sunamganj,Picnic Spot,172,1,Low,1912
Cumilla,Kuakata Beach,Barisal,Sea Beach,374,6,High,9685
Cumilla,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,267,1,Medium,1535
Khulna,Bhawal National Park,Gazipur,Park,247,1,Low,1979
Rangpur,Satchari National Park,Habiganj,Park,398,1,Medium,2265
Barisal,Rangamati Hanging Bridge,Rangamati,Hills,300,4,High,8830
Rajshahi,Bangabandhu Bridge,Tangail,Historical Palace,567,1,Medium,2732
Sylhet,Bangladesh National Meusium,Dhaka,Historical Palace,241,1,Medium,2024
Mymensingh,Alutila Cave,Khagrachari,Hills,379,6,Medium,10951
Chittagong,Maheshkhali Island,Cox's Bazar,Island,103,7,High,6765
Mymensingh,Shahporan Dargah,Sylhet,Historical Palace,204,1,Medium,2324
Cumilla,Mawa Ghat,Munshiganj,Picnic Spot,129,1,Low,1103
Cumilla,Fatra's Char,Patuakhali,Island,272,7,High,15404
Sylhet,Shoshi Lodge,Mymensingh,Historical Palace,281,1,Low,2121
Sylhet,Nikli Haor,Kishoreganj,Picnic Spot,197,1,Low,1297
Khulna,Satchari National Park,Habiganj,Park,339,1,Medium,1932
Rangpur,Mohera Jamindar Bari,Tangail,Historical Palace,230,1,Medium,2370
Mymensingh,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,146,1,Low,1928
Barisal,Dulahazara Safari Park,Cox's Bazar,Park,346,1,Low,1786
Sylhet,Chandradinga,Netrokona,Hills,169,2,High,4409
Khulna,Tanguar Haor,Sunamganj,Picnic Spot,498,1,Medium,1634
Rangpur,Dulahazara Safari Park,Cox's Bazar,Park,651,1,Low,2547
Rajshahi,Dhakeshwari Temple,Dhaka,Historical Palace,257,1,Low,2566
Dhaka,Buddha Dhatu Jadi,Bandarban,Historical Palace,331,1,Low,2366
Dhaka,Shahporan Dargah,Sylhet,Historical Palace,242,1,Medium,1875
Dhaka,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,40,1,Low,1948
Sylhet,Ratargul Swamp Forest,Sylhet,Forest,53,1,Low,1438
Chittagong,Jadukata River,Sunamganj,Picnic Spot,406,1,Medium,1636
Khulna,Swapnapuri Amusement Park,Dinajpur,Picnic Spot,388,1,Low,2418
Sylhet,Kantaji Temple,Dinajpur,Historical Palace,552,1,Low,1808
Mymensingh,Himchari National Park,Cox's Bazar,Park,520,1,Medium,1767
Rajshahi,Himchari National Park,Cox's Bazar,Park,653,1,Low,1856
Khulna,Shahporan Dargah,Sylhet,Historical Palace,445,1,Medium,2467
Rajshahi,Chandranath Hill,Chittagong,Hills,461,4,High,6580
Dhaka,Shahjalal Dargah,Sylhet,Historical Palace,236,1,Low,1960
Dhaka,Nikli Haor,Kishoreganj,Picnic Spot,107,1,Low,1510
Sylhet,Narikelbaria Jamidar Bari,Jhenaidah,Historical Palace,410,1,Medium,2909
Chittagong,Nikli Haor,Kishoreganj,Picnic Spot,277,1,Medium,2572
Rangpur,Nikli Haor,Kishoreganj,Picnic Spot,361,1,Medium,2931
Rajshahi,Cholon Beel,Sirajganj,Picnic Spot,84,1,Low,1451
Khulna,Meghla Tourist Complex,Bandarban,Hills,414,3,High,5813
Khulna,Amiakhum Waterfall,Bandarban,Waterfall,477,2,Medium,1904
Khulna,Mujibnagar Memorial,Meherpur,Historical Palace,157,1,Low,1678
Barisal,Tindur Waterfall,Bandarban,Waterfall,365,3,Low,3802
Rangpur,Bangabandhu Safari Park,Gazipur,Park,295,1,Medium,2083
Barisal,Keokradong,Bandarban,Hills,374,4,Medium,6979
Mymensingh,Tanguar Haor,Sunamganj,Picnic Spot,172,1,Low,1555
Rajshahi,Himchari National Park,Cox's Bazar,Park,653,1,Medium,2451
Rajshahi,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,279,1,Medium,2569
Chittagong,Foy's Lake,Chittagong,Park,10,1,Low,1035
Rajshahi,Jaflong,Sylhet,Picnic Spot,508,1,Medium,2716
Cumilla,Cholon Beel,Sirajganj,Picnic Spot,275,1,Medium,1933
Dhaka,Bodhiratna Buddhist Temple,Cox's Bazar,Historical Palace,388,1,Low,2693
Chittagong,Dulahazara Safari Park,Cox's Bazar,Park,98,1,Low,1103
Cumilla,Jadukata River,Sunamganj,Picnic Spot,255,1,Medium,2471
Cumilla,Shaheed Suhrawardy Udyan,Dhaka,Park,97,1,Low,1498
Barisal,Bangabandhu Bridge,Tangail,Historical Palace,273,1,Low,2964
Barisal,Mujibnagar Memorial,Meherpur,Historical Palace,266,1,Low,2516
Barisal,Jatiyo Sriti Shoudho,Savar,Historical Palace,201,1,Low,1601
Dhaka,Gunahar Saheb Bari,Naogaon,Historical Palace,219,1,Low,2983
Rangpur,Alutila Cave,Khagrachari,Hills,558,4,High,11672
Cumilla,Alutila Cave,Khagrachari,Hills,163,2,Medium,4071
Dhaka,Ahsan Monjil,Dhaka,Historical Palace,15,1,Low,1873
Cumilla,Mujibnagar Smriti Complex,Meherpur,Historical Palace,350,1,Medium,2256
Dhaka,Panchagarh Tea Estate,Panchagarh,Picnic Spot,408,1,Medium,2188
Barisal,Shoshi Lodge,Mymensingh,Historical Palace,289,1,Low,1642
Sylhet,Panchagarh Tea Estate,Panchagarh,Picnic Spot,646,1,Medium,2747
Mymensingh,Suagazi Zamindar Bari,Cumilla,Historical Palace,117,1,Low,1583
Mymensingh,Maheshkhali Island,Cox's Bazar,Island,466,4,High,14135
Sylhet,Shahporan Dargah,Sylhet,Historical Palace,10,1,Low,534
Cumilla,Chalkmoshar Zamindar Bari,Naogaon,Historical Palace,364,1,Low,2189
Rangpur,Suagazi Zamindar Bari,Cumilla,Historical Palace,412,1,Medium,2732
Cumilla,Chhatak Haor,Sunamganj,Picnic Spot,61,1,Low,934
Rangpur,Chor Kukri Mukri,Bhola,Island,607,6,Medium,8251
Cumilla,Dhanmondi Lake,Dhaka,Park,562,1,Low,2587
Mymensingh,Chandranath Hill,Chittagong,Hills,325,4,Medium,8572
Chittagong,Chimbuk View Point,Bandarban,Hills,88,2,High,3757
Rajshahi,Mawa Ghat,Munshiganj,Picnic Spot,270,1,Medium,2258
Rajshahi,Shoshi Lodge,Mymensingh,Historical Palace,236,1,Low,1627
Cumilla,Lalon Shah Mazar,Kushtia,Historical Palace,117,1,Low,1826
Chittagong,Meghla Tourist Complex,Bandarban,Hills,70,2,Medium,4640
Dhaka,Teliapara Tea Garden,Habiganj,Picnic Spot,130,1,Low,1888
Barisal,Patenga Beach,Chittagong,Sea Beach,250,5,Medium,19041
Barisal,Dhanmondi Lake,Dhaka,Park,175,1,Low,1183
Rajshahi,Ramsagar National Park,Dinajpur,Park,201,1,Medium,1577
Cumilla,Boga Lake,Bandarban,Hills,274,4,Medium,6264
Khulna,Tanguar Haor,Sunamganj,Picnic Spot,498,1,Low,2394
Rajshahi,Khoiyachora Jhorna,Chittagong,Waterfall,446,2,Medium,4670
Chittagong,Bhawal National Park,Gazipur,Park,286,1,Low,2997
Rangpur,Sajek Valley,Rangamati,Hills,629,6,Medium,6329
Cumilla,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,687,1,Medium,1685
Dhaka,Inani Beach,Cox's Bazar,Sea Beach,418,6,High,8608
Khulna,Suagazi Zamindar Bari,Cumilla,Historical Palace,308,1,Medium,2863
Khulna,Jaflong,Sylhet,Picnic Spot,498,1,Medium,1940
Dhaka,Maheshkhali Island,Cox's Bazar,Island,355,5,Medium,13336
Barisal,Cholon Beel,Sirajganj,Picnic Spot,297,1,Medium,2551
Chittagong,Mohamaya Eco Park,Chittagong,Picnic Spot,81,1,Low,871
Cumilla,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,298,3,Medium,18494
Khulna,Baliadi  Zamindar Bari,Gazipur,Historical Palace,257,1,Medium,1532
Barisal,Mujibnagar Eco Park,Meherpur,Park,270,1,Low,2478
Cumilla,Boga Lake,Bandarban,Hills,274,3,High,11234
Rajshahi,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,67,1,Low,1968
Barisal,Ghoraghat Fort,Dinajpur,Historical Palace,414,1,Medium,1958
Rajshahi,Shahporan Dargah,Sylhet,Historical Palace,456,1,Low,2576
Sylhet,Malnichhara Tea Garden,Sylhet,Picnic Spot,4.3,1,Low,660
Rajshahi,Malnichhara Tea Garden,Sylhet,Picnic Spot,452,1,Low,1932
Cumilla,Panchagarh Tea Estate,Panchagarh,Picnic Spot,548,1,Low,1775
Chittagong,Mohamaya Eco Park,Chittagong,Picnic Spot,81,1,Low,1215
Rangpur,Malnichhara Tea Garden,Sylhet,Picnic Spot,502,1,Medium,1812
Barisal,Kaptai Lake,Rangamati,Park,297,1,Medium,2170
Rajshahi,Suagazi Zamindar Bari,Cumilla,Historical Palace,362,1,Medium,2317
Chittagong,Mujibnagar Eco Park,Meherpur,Park,486,1,Medium,2980
Mymensingh,Ghoraghat Fort,Dinajpur,Historical Palace,236,1,Medium,2744
Cumilla,Muktagacha ZamidarBari,Mymensingh,Historical Palace,233,1,Low,2813
Rangpur,Sundarbans,Satkhira,Forest,453,1,Low,1842
Mymensingh,Buddha Dhatu Jadi,Bandarban,Historical Palace,441,1,Low,1554
Dhaka,Bhola Circuit House,Bhola,Picnic Spot,188,1,Low,1464
Sylhet,Khoiyachora Jhorna,Chittagong,Waterfall,306,1,Medium,4517
Mymensingh,Jadipai Waterfall,Bandarban,Waterfall,500,3,Medium,4359
Dhaka,Bhawal National Park,Gazipur,Park,45,1,Low,1253
Rangpur,Baliati Jamidar Bari,Manikganj,Historical Palace,254,1,Low,2615
Barisal,Shilaidaha Kuthibari,Kushtia,Historical Palace,209,1,Low,1850
Mymensingh,Cox's Bazar Sea Beach,Cox's Bazar,Sea Beach,511,3,High,7627
Cumilla,Fatra's Char,Patuakhali,Island,273,7,Medium,8992
Chittagong,Nafakhum Waterfall,Bandarban,Waterfall,147,1,Low,4205
Khulna,Sajek Valley,Rangamati,Hills,427,6,Medium,11770
Chittagong,Shalban Vihara,Cumilla,Historical Palace,153,1,Low,1216
Barisal,"Chhatak,lal pahar",Sunamganj,Picnic Spot,426,1,Medium,2950
Rangpur,Cholon Beel,Sirajganj,Picnic Spot,200,1,Low,1852
Sylhet,Sonargaon Folk Art Museum,Narayanganj,Historical Palace,236,1,Medium,1675
Barisal,Suagazi Zamindar Bari,Cumilla,Historical Palace,184,1,Low,1140
Dhaka,Baniachong Zamindar Bari,Habiganj,Historical Palace,172,1,Low,1369
Cumilla,Hardinge Bridge,Kushtia,Historical Palace,136,1,Low,1607
Barisal,Shalban Vihara,Cumilla,Historical Palace,175,1,Low,1461
Barisal,Chandranath Hill,Chittagong,Hills,206,6,High,6840
Sylhet,Rangamati Hanging Bridge,Rangamati,Hills,415,4,Medium,9855
Cumilla,Modhutila Eco Park,Sherpur,Park,300,1,Low,2412
Chittagong,Cholon Beel,Sirajganj,Picnic Spot,424,1,Medium,1991
Rangpur,Bhola Circuit House,Bhola,Picnic Spot,523,1,Low,2384
Dhaka,Sitakunda Eco Park,Chittagong,Park,219,1,Medium,2989
Chittagong,Mujibnagar Eco Park,Meherpur,Park,486,1,Low,2916
Sylhet,Birishiri,Netrokona,Picnic Spot,169,1,Low,1951
Rajshahi,Chimbuk View Point,Bandarban,Hills,448,6,High,5656
Khulna,Lawachara National Park,Sylhet,Park,388,1,Medium,2077
Rangpur,Shibganj Mango Orchard,Chapainawabganj,Picnic Spot,253,1,Medium,1810
Mymensingh,Himchari National Park,Cox's Bazar,Park,520,1,Low,1500
Sylhet,Kaptai Lake,Rangamati,Picnic Spot,416,1,Medium,2436
Dhaka,Kuakata Beach,Barisal,Sea Beach,298,6,Medium,17512
Khulna,Alutila Cave,Khagrachari,Hills,357,4,Medium,7449
Khulna,Fatra's Char,Patuakhali,Island,216,3,Medium,11232
Chittagong,Bichanakandi,Sylhet,Picnic Spot,400,1,Low,1919
Khulna,Darjeeling Point,Panchagarh,Hills,635,6,High,6590
Rajshahi,Cholon Beel,Sirajganj,Picnic Spot,84,1,Low,1304
